State,Associated with,Head of state,Head of government
Cook Islands,New Zealand,"King – Charles III
King's Representative – Sir Tom Marsters",Prime Minister – Mark Brown
Niue,New Zealand,"King – Charles III
King's Representative – Dame Cindy Kiro",Premier – Dalton Tagelagi
