Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Palestine,"4,040,000","96,960",2.40,"3,943,040",97.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Qatar,"1,760,000","242,880",14.2,"1,152,800",65.5,"15,840",0.90,"242,880",15.1,"54,560",3.10,0,0.00,"12,320",0.70,0,0.00
Saudi Arabia,"27,450,000","1,207,800",4.40,"25,528,500",93.00,"192,150",0.70,"301,950",1.10,"82,350",0.30,"82,350",0.30,"82,350",0.30,0,0.00
Syria,"20,410,000","1,061,320",5.20,"18,940,480",92.80,"408,200",2.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Turkey,"72,750,000","291,000",0.40,"71,295,000",98.00,"873,000",1.20,0,0.00,"40,000",0.05,"20,000",0.03,"145,500",0.20,"20,000",0.03
United Arab Emirates,"7,510,000","946,260",14,"5,775,190",70,"82,610",1.10,"495,660",10,"150,200",2.00,0,0.00,"60,080",0.80,0,0.00
Yemen,"24,050,000","48,100",0.20,"23,833,550",99.10,"24,050",0.10,"144,300",0.60,0,0.00,0,0.00,0,0.00,0,0.00
Austria,"8,390,450","6,745,560",80.40%,"453,060",5.40%,"1,132,650",13.50%,0,0.00%,"16,780",0.20%,0,0.00%,"8,390",0.10%,"16,780",0.20%
Croatia,"4,454,450","4,109,600",93.40%,"61,600",1.40%,"224,400",5.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Czech Republic,"10,490,000","2,444,170",23.3%,0,0.0%,"8,014,360",76.4%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Germany,"82,300,000","56,540,100",68.70%,"4,773,400",5.80%,"20,328,100",24.70%,0,0.00%,"246,900",0.30%,0,0.00%,"82,300",0.10%,"246,900",0.30%
Hungary,"9,980,000","8,083,800",81.00%,0,0.00%,"1,856,280",18.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"9,980",0.10%
Liechtenstein,"40,000","36,760",91.90%,"2,000",5.00%,"1,160",2.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,40,0.10%
Poland,"38,280,000","36,098,040",94.30%,0,0.00%,"2,143,680",5.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Romania,"21,490,000","21,382,550",99.50%,"64,470",0.30%,"21,490",0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Slovakia,"5,460,000","4,657,380",85.30%,"10,920",0.20%,"780,780",14.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Slovenia,"2,030,000","1,591,520",78.40%,"73,080",3.60%,"365,400",18.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Switzerland,"7,660,000","6,227,580",81.30%,"421,300",5.50%,"911,540",11.90%,"30,640",0.40%,"30,640",0.40%,0,0.00%,"7,660",0.10%,"22,980",0.30%
Belarus,"9,611,750","6,835,200",71.20%,"19,200",0.20%,"2,745,600",28.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Georgia,"4,350,225","3,849,750",88.50%,"465,450",10.70%,"30,450",0.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Russia,"142,960,000","104,789,680",73.30%,"14,296,000",10.00%,"23,159,520",16.20%,0,0.00%,"142,960",0.10%,"285,920",0.20%,0,0.00%,"285,920",0.20%
Ukraine,"45,450,000","38,087,100",83.80%,"545,400",1.20%,"6,681,150",14.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"45,450",0.10%
Denmark,"5,550,450","4,634,250",83.50%,"227,550",4.10%,"654,900",11.80%,"22,200",0.40%,"11,100",0.20%,0,0.00%,0,0.00%,0,0.00%
Faroe Islands,"50,000","49,000",98.00%,0,0.00%,850,1.70%,0,0.00%,0,0.00%,0,0.00%,150,0.30%,0,0.00%
Estonia,"1,340,375","534,660",39.90%,"2,680",0.20%,"798,640",59.60%,0,0.00%,0,0.00%,10,0.00%,0,0.00%,1 340,0.10%
Finland,"5,360,000","4,373,760",81.60%,"42,880",0.80%,"943,360",17.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
