Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Andorra,"80,740","71,600",89.50%,640,0.80%,"7,040",8.80%,400,0.50%,0,0.00%,0,0.00%,80,0.10%,240,0.30%
Gibraltar,"30,000","26,640",88.80%,"1,200",4.00%,870,2.90%,540,1.80%,0,0.00%,0,0.00%,90,0.30%,630,2.10%
Italy,"60,550,000","50,438,150",83.30%,"2,240,350",3.70%,"7,508,200",12.40%,"60,550",0.10%,"121,100",0.20%,"60,550",0.10%,"60,000",0.10%,"50,000",0.08%
Malta,"420,264","407,400",97.00%,840,0.20%,"10,500",2.50%,840,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Portugal,"10,680,000","10,017,840",93.80%,"64,080",0.60%,"469,920",4.40%,"10,680",0.10%,"64,080",0.60%,"53,400",0.50%,0,0.00%,0,0.00%
San Marino,"30,000","27,480",91.60%,0,0.00%,"2,160",7.20%,0,0.00%,0,0.00%,0,0.00%,270,0.90%,90,0.30%
Spain,"46,080,000","36,218,880",78.60%,"967,680",2.10%,"8,755,200",19.00%,"20,000",0.04%,0,0.00%,"20,000",0.04%,"10,000",0.02%,"46,080",0.10%
Vatican City,800,800,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,"117,870,800","97,208,790",82.47%,"3,274,790",2.78%,"16,753,890",14.21%,"93,010",0.08%,"185,180",0.16%,"133,950",0.11%,"70,440",0.06%,"97,040",0.08%
