Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Argentina,"40,414,300","34,429,320",85.20%,"404,100",1.00%,"4,930,020",12.20%,0,0.00%,"20,000",0.05%,"323,280",0.80%,"121,230",0.30%,"202,050",0.50%
Bolivia,"9,930,000","9,324,270",93.90%,0,0.00%,"407,130",4.10%,0,0.00%,0,0.00%,"89,470",0.90%,"99,300",1.00%,0,0.00%
Brazil,"194,950,550","183,310,550",95.90%,"40,000",0.02%,"15,401,050",7.90%,0,0.00%,"194,950",0.10%,"5,458,600",2.80%,"389,900",0.20%,"110,000",0.06%
Chile,"17,110,000","15,296,340",89.40%,0,0.00%,"1,471,460",8.60%,0,0.00%,"10,000",0.06%,"256,650",1.50%,"34,220",0.20%,"17,110",0.10%
Colombia,"50,290,000","41,500,000",86.00%,"100,000",0.2%,"5,500,140",11.00%,50.000,0.01%,50.000,0.01%,"500,320",1.0%,"1.000,000",2.0%,50.000,0.01%
Ecuador,"14,460,000","13,606,860",94.10%,0,0.00%,"795,300",5.50%,0,0.00%,0,0.00%,"43,380",0.30%,0,0.00%,0,0.00%
Falkland Islands,"3,000","2,016",67.20%,9,0.30%,945,31.50%,0,0.00%,6,0.20%,0,0.00%,24,0.80%,0,0.00%
French Guiana,"230,000","194,120",84.40%,"2,070",0.90%,"7,820",3.40%,"3,680",1.60%,0,0.00%,"20,930",9.10%,"1,150",0.50%,0,0.00%
Guyana,"850,000","495,000",66.00%,"48,000",6.40%,"15,000",2.00%,"236,750",27.90%,0,0.00%,"1,500",0.20%,"4,500",0.60%,0,0.00%
Paraguay,"6,450,000","6,250,050",96.90%,0,0.00%,"70,950",1.10%,0,0.00%,0,0.00%,"109,650",1.70%,"12,900",0.20%,0,0.00%
Peru,"29,080,000","26,753,600",93.00%,0,0.00%,"1,890,200",6.50%,0,0.00%,"58,160",0.20%,"290,800",1.00%,"87,240",0.30%,0,0.00%
Suriname,"520,000","268,320",51.60%,"79,040",15.20%,"28,080",5.40%,"102,960",19.80%,"3,120",0.60%,"27,560",5.30%,"9,360",1.80%,"1,040",0.20%
Uruguay,"3,370,000","1,951,230",57.90%,0,0.00%,"1,371,590",40.70%,0,0.00%,0,0.00%,"26,960",0.80%,"10,110",0.30%,"10,110",0.30%
Venezuela,"28,980,000","25,879,140",89.30%,"86,940",0.30%,"2,898,000",10.00%,0,0.00%,0,0.00%,"57,960",0.20%,"20,000",0.07%,0,0.00%
Total,"392,533,000","351,596,866",89.57%,"670,159",0.17%,"31,324,885",7.98%,"293,390",0.07%,"286,236",0.07%,"7,076,960",1.80%,"829,934",0.21%,"340,310",0.09%
