Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Botswana,"2,010,000","1,449,210",72.10,"8,040",0.40,"414,060",20.60,"6,030",0.30,0,0.00,"120,600",6.00,"12,060",0.60,0,0.00
Eswatini,"1,193,560","1,051,526",88.10,"2,400",2.00,"120,190",10.10,"1,190",0.10,0,0.00,"11,900",1.00,"4,760",0.40,0,0.00
Lesotho,"2,170,000","2,105,560",96.70,"3,000",0.10,"67,270",3.10,0,0.00,0,0.00,"2,170",0.10,0,0.00,0,0.00
Namibia,"2,280,000","2,223,000",97.50,"6,840",0.30,"43,320",1.90,0,0.00,0,0.00,"4,560",0.20,0,0.00,0,0.00
South Africa,"50,130,000","40,705,560",81.20,"1,200,000",2.00,"6,136,274",14.90,"753,524",1.70,"100,260",0.20,"200,520",0.40,"150,390",0.30,"50,130",0.10
Southern Africa,"57,780,000","47,526,720",82.25,"1,220,000",1.50,"8,114,210",14.04,"760,000",0.97,"100,260",0.17,"339,750",0.59,"167,210",0.29,"50,130",0.09
