Country,Population,"Christian
Population & %","Muslim
Population & %","Unaffiliated
Population & %","Hindu
Population & %","Buddhist
Population & %","Folk Religion
Population & %","Other Religion
Population & %","Jewish
Population & %"
World,"6,895,806,200","2,172,804,407","1,598,145,602","1,125,764,242","1,032,750,475","488,087,716","404,663,436","58,789,445","13,653,580"
World,100%,31.51 %,23.18 %,16.33 %,14.98 %,7.08 %,5.87 %,0.85 %,0.20 %
